triage_rank,target_id,group_id,triage_band,triage_action,model1_model_id,model1_gdt_ts_proxy,best_top5_model_id,best_top5_model_number,best_top5_gdt_ts_proxy,best_minus_model1_gdt_ts_proxy,model1_metric_status,best_top5_metric_status,complete_top5_group,top5_ready_count,claim_boundary,rule_id
26,T1212,319,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS319_1,0.966,T1212TS319_4,4,5.365,4.399,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
27,T1212,031,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS031_1,3.326,T1212TS031_2,2,7.564,4.238,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
28,T1212,148,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS148_1,0.000,T1212TS148_3,3,2.736,2.736,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
29,T1212,465,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS465_1,2.468,T1212TS465_2,2,4.989,2.521,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
30,T1212,264,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS264_1,0.000,T1212TS264_3,3,2.414,2.414,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
31,T1212,241,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS241_1,0.376,T1212TS241_2,2,2.736,2.360,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
32,T1212,159,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS159_1,0.054,T1212TS159_2,2,2.307,2.253,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
33,T1212,079,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS079_1,2.468,T1212TS079_3,3,4.614,2.146,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
34,T1212,120,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS120_1,0.858,T1212TS120_4,4,3.004,2.146,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
35,T1212,293,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS293_1,0.376,T1212TS293_3,3,2.468,2.092,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
36,T1212,361,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS361_1,1.073,T1212TS361_5,5,3.004,1.931,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
37,T1212,423,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS423_1,0.268,T1212TS423_4,4,2.092,1.824,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
38,T1212,287,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS287_1,0.805,T1212TS287_3,3,2.521,1.716,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
39,T1212,014,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS014_1,4.292,T1212TS014_4,4,5.901,1.609,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
40,T1212,456,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS456_1,0.751,T1212TS456_5,5,2.039,1.288,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
41,T1212,235,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS235_1,2.039,T1212TS235_2,2,3.219,1.180,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
42,T1212,475,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS475_1,0.966,T1212TS475_3,3,2.039,1.073,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
43,T1212,040,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS040_1,1.395,T1212TS040_2,2,2.307,0.912,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
44,T1212,331,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS331_1,1.341,T1212TS331_4,4,2.146,0.805,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
45,T1212,059,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS059_1,2.092,T1212TS059_3,3,2.790,0.698,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
46,T1212,019,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS019_1,1.556,T1212TS019_3,3,2.146,0.590,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
47,T1212,272,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS272_1,0.805,T1212TS272_5,5,1.073,0.268,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
48,T1212,196,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS196_1,0.000,T1212TS196_2,2,0.161,0.161,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
49,T1212,022,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS022_1,0.536,T1212TS022_3,3,0.644,0.108,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
50,T1212,143,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS143_1,1.556,T1212TS143_2,2,1.663,0.107,metric_ready,metric_ready,False,3,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
51,T1212,397,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS397_1,0.376,T1212TS397_2,2,0.483,0.107,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
52,T1212,450,small_selection_gap,calibrate_tie_breakers_and_confidence_precision,T1212TS450_1,0.429,T1212TS450_5,5,0.483,0.054,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
53,T1212,028,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS028_1,1.609,T1212TS028_1,1,1.609,0.000,metric_ready,metric_ready,False,1,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
54,T1212,033,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS033_1,43.616,T1212TS033_1,1,43.616,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
55,T1212,044,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS044_1,3.004,T1212TS044_1,1,3.004,0.000,metric_ready,metric_ready,False,2,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
56,T1212,051,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS051_1,3.755,T1212TS051_1,1,3.755,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
57,T1212,110,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS110_1,1.073,T1212TS110_1,1,1.073,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
58,T1212,112,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS112_1,0.966,T1212TS112_1,1,0.966,0.000,metric_ready,metric_ready,False,1,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
59,T1212,122,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS122_1,2.307,T1212TS122_1,1,2.307,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
