action_rank,evidence_class,template_column,blocker,drop_path,operator_note,ready_check
140,ablation_file,steric_relaxed_prediction_pdb,steric_relaxed_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/steric_relaxed/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/steric_relaxed/<HISTORICAL_TARGET_ID>TS.pdb, then update steric_relaxed_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
141,ablation_file,rotamer_minimized_prediction_pdb,rotamer_minimized_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/rotamer_minimized/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/rotamer_minimized/<HISTORICAL_TARGET_ID>TS.pdb, then update rotamer_minimized_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
142,ablation_file,polar_refined_prediction_pdb,polar_refined_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/polar_refined/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/polar_refined/<HISTORICAL_TARGET_ID>TS.pdb, then update polar_refined_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
143,ablation_file,forcefield_minimized_prediction_pdb,forcefield_minimized_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/forcefield_minimized/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/forcefield_minimized/<HISTORICAL_TARGET_ID>TS.pdb, then update forcefield_minimized_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
144,ablation_file,statistical_rotamer_prediction_pdb,statistical_rotamer_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/statistical_rotamer/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/statistical_rotamer/<HISTORICAL_TARGET_ID>TS.pdb, then update statistical_rotamer_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
145,calibration,selected_model_rank,selected_model_rank_requires_rank_1_to_5,,fill selected_model_rank from the local historical scoring/calibration packet,row_fill_value_updated
146,calibration,best_model_rank,best_model_rank_requires_rank_1_to_5,,fill best_model_rank from the local historical scoring/calibration packet,row_fill_value_updated
147,calibration,selected_native_metric,selected_native_metric_requires_numeric,,fill selected_native_metric from the local historical scoring/calibration packet,row_fill_value_updated
148,calibration,best_native_metric,best_native_metric_requires_numeric,,fill best_native_metric from the local historical scoring/calibration packet,row_fill_value_updated
149,calibration,selected_score,selected_score_requires_numeric,,fill selected_score from the local historical scoring/calibration packet,row_fill_value_updated
150,calibration,best_score,best_score_requires_numeric,,fill best_score from the local historical scoring/calibration packet,row_fill_value_updated
