queue_rank,scaffold_row_rank,required_benchmark_id,required_target_id,scope,metric_profile,replacement_queue_status,strict_blind_replacement_required,current_seed_competitive_allowed_count,current_seed_retrospective_count,current_seed_authority_required_count,requirement_field_count,replacement_folder,requirements_csv,next_action,blockers
11,11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/11_hist_required_monomer_011,casp17/historical_seed_strict_blind_replacement_queue/11_hist_required_monomer_011/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
12,12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/12_hist_required_monomer_012,casp17/historical_seed_strict_blind_replacement_queue/12_hist_required_monomer_012/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
13,13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/13_hist_required_monomer_013,casp17/historical_seed_strict_blind_replacement_queue/13_hist_required_monomer_013/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
14,14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/14_hist_required_monomer_014,casp17/historical_seed_strict_blind_replacement_queue/14_hist_required_monomer_014/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
15,15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/15_hist_required_monomer_015,casp17/historical_seed_strict_blind_replacement_queue/15_hist_required_monomer_015/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
16,16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/16_hist_required_monomer_016,casp17/historical_seed_strict_blind_replacement_queue/16_hist_required_monomer_016/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
17,17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/17_hist_required_monomer_017,casp17/historical_seed_strict_blind_replacement_queue/17_hist_required_monomer_017/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
18,18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/18_hist_required_monomer_018,casp17/historical_seed_strict_blind_replacement_queue/18_hist_required_monomer_018/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
19,19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/19_hist_required_monomer_019,casp17/historical_seed_strict_blind_replacement_queue/19_hist_required_monomer_019/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
20,20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/20_hist_required_monomer_020,casp17/historical_seed_strict_blind_replacement_queue/20_hist_required_monomer_020/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
21,21,hist_REQUIRED_MONOMER_021,REQUIRED_MONOMER_021,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/21_hist_required_monomer_021,casp17/historical_seed_strict_blind_replacement_queue/21_hist_required_monomer_021/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
22,22,hist_REQUIRED_MONOMER_022,REQUIRED_MONOMER_022,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/22_hist_required_monomer_022,casp17/historical_seed_strict_blind_replacement_queue/22_hist_required_monomer_022/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
23,23,hist_REQUIRED_MONOMER_023,REQUIRED_MONOMER_023,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/23_hist_required_monomer_023,casp17/historical_seed_strict_blind_replacement_queue/23_hist_required_monomer_023/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
24,24,hist_REQUIRED_MONOMER_024,REQUIRED_MONOMER_024,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/24_hist_required_monomer_024,casp17/historical_seed_strict_blind_replacement_queue/24_hist_required_monomer_024/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
25,25,hist_REQUIRED_MONOMER_025,REQUIRED_MONOMER_025,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/25_hist_required_monomer_025,casp17/historical_seed_strict_blind_replacement_queue/25_hist_required_monomer_025/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
26,26,hist_REQUIRED_COMPLEX_001,REQUIRED_COMPLEX_001,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/26_hist_required_complex_001,casp17/historical_seed_strict_blind_replacement_queue/26_hist_required_complex_001/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
27,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/27_hist_required_complex_002,casp17/historical_seed_strict_blind_replacement_queue/27_hist_required_complex_002/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
28,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/28_hist_required_complex_003,casp17/historical_seed_strict_blind_replacement_queue/28_hist_required_complex_003/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
29,29,hist_REQUIRED_COMPLEX_004,REQUIRED_COMPLEX_004,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/29_hist_required_complex_004,casp17/historical_seed_strict_blind_replacement_queue/29_hist_required_complex_004/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
30,30,hist_REQUIRED_COMPLEX_005,REQUIRED_COMPLEX_005,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/30_hist_required_complex_005,casp17/historical_seed_strict_blind_replacement_queue/30_hist_required_complex_005/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
31,31,hist_REQUIRED_COMPLEX_006,REQUIRED_COMPLEX_006,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/31_hist_required_complex_006,casp17/historical_seed_strict_blind_replacement_queue/31_hist_required_complex_006/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
32,32,hist_REQUIRED_COMPLEX_007,REQUIRED_COMPLEX_007,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/32_hist_required_complex_007,casp17/historical_seed_strict_blind_replacement_queue/32_hist_required_complex_007/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
33,33,hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/33_hist_required_complex_008,casp17/historical_seed_strict_blind_replacement_queue/33_hist_required_complex_008/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
34,34,hist_REQUIRED_COMPLEX_009,REQUIRED_COMPLEX_009,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/34_hist_required_complex_009,casp17/historical_seed_strict_blind_replacement_queue/34_hist_required_complex_009/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
35,35,hist_REQUIRED_COMPLEX_010,REQUIRED_COMPLEX_010,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/35_hist_required_complex_010,casp17/historical_seed_strict_blind_replacement_queue/35_hist_required_complex_010/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
36,36,hist_REQUIRED_COMPLEX_011,REQUIRED_COMPLEX_011,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/36_hist_required_complex_011,casp17/historical_seed_strict_blind_replacement_queue/36_hist_required_complex_011/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
37,37,hist_REQUIRED_COMPLEX_012,REQUIRED_COMPLEX_012,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/37_hist_required_complex_012,casp17/historical_seed_strict_blind_replacement_queue/37_hist_required_complex_012/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
38,38,hist_REQUIRED_COMPLEX_013,REQUIRED_COMPLEX_013,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/38_hist_required_complex_013,casp17/historical_seed_strict_blind_replacement_queue/38_hist_required_complex_013/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
39,39,hist_REQUIRED_COMPLEX_014,REQUIRED_COMPLEX_014,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/39_hist_required_complex_014,casp17/historical_seed_strict_blind_replacement_queue/39_hist_required_complex_014/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
40,40,hist_REQUIRED_COMPLEX_015,REQUIRED_COMPLEX_015,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/40_hist_required_complex_015,casp17/historical_seed_strict_blind_replacement_queue/40_hist_required_complex_015/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
