action_id,queue_rank,target_id,target_name,target_action_folder,field_name,field_group,field_status,action_status,blocker,required_value_policy,current_value,operator_fill_intake_csv,verify_command,next_action,competitive_proof_eligible,author_serialized
H1319_value_action_011,11,H1319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,post_release_information_used,boolean,blocked,open_operator_value,post_release_information_used_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill post_release_information_used in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
H1319_value_action_012,12,H1319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,current_casp17_target,boolean,blocked,open_operator_value,current_casp17_target_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill current_casp17_target in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
H1321_value_action_013,13,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,native_source_pdb,native_file,blocked,open_operator_value,native_source_pdb_required,local protein PDB path distinct from prediction,REQUIRED_OPERATOR_NATIVE_PDB_SOURCE_PATH,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill native_source_pdb in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with local protein PDB path distinct from prediction, then rerun the value gate.",false,false
H1321_value_action_014,14,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,no_leak_evidence_ref,evidence,blocked,open_operator_value,no_leak_evidence_ref_required,local no-leak evidence file,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_FILE,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill no_leak_evidence_ref in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with local no-leak evidence file, then rerun the value gate.",false,false
H1321_value_action_015,15,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,leakage_clearance,clearance,blocked,open_operator_value,leakage_clearance_required,cleared/no_leak style clearance value,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill leakage_clearance in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with cleared/no_leak style clearance value, then rerun the value gate.",false,false
H1321_value_action_016,16,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,operator_clearance,clearance,blocked,open_operator_value,operator_clearance_required,operator-cleared value,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill operator_clearance in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with operator-cleared value, then rerun the value gate.",false,false
H1321_value_action_017,17,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,operator,operator,blocked,open_operator_value,operator_required,operator id,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill operator in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with operator id, then rerun the value gate.",false,false
H1321_value_action_018,18,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,prediction_created_at,date,blocked,open_operator_value,prediction_created_at_required_iso_date,ISO date before native release,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill prediction_created_at in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with ISO date before native release, then rerun the value gate.",false,false
H1321_value_action_019,19,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,native_release_date,date,blocked,open_operator_value,native_release_date_required_iso_date,ISO native release date,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill native_release_date in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with ISO native release date, then rerun the value gate.",false,false
H1321_value_action_020,20,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,prediction_generated_before_native_release,boolean,blocked,open_operator_value,prediction_generated_before_native_release_required,true confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill prediction_generated_before_native_release in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with true confirmation, then rerun the value gate.",false,false
H1321_value_action_021,21,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,public_template_or_native_used_for_prediction,boolean,blocked,open_operator_value,public_template_or_native_used_for_prediction_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill public_template_or_native_used_for_prediction in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
H1321_value_action_022,22,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,other_team_model_used,boolean,blocked,open_operator_value,other_team_model_used_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill other_team_model_used in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
H1321_value_action_023,23,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,post_release_information_used,boolean,blocked,open_operator_value,post_release_information_used_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill post_release_information_used in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
H1321_value_action_024,24,H1321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/competitive_floor_batch_native_provenance_value_action_board/H1321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,current_casp17_target,boolean,blocked,open_operator_value,current_casp17_target_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill current_casp17_target in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
H2324_value_action_025,25,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,native_source_pdb,native_file,blocked,open_operator_value,native_source_pdb_required,local protein PDB path distinct from prediction,REQUIRED_OPERATOR_NATIVE_PDB_SOURCE_PATH,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill native_source_pdb in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with local protein PDB path distinct from prediction, then rerun the value gate.",false,false
H2324_value_action_026,26,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,no_leak_evidence_ref,evidence,blocked,open_operator_value,no_leak_evidence_ref_required,local no-leak evidence file,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_FILE,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill no_leak_evidence_ref in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with local no-leak evidence file, then rerun the value gate.",false,false
H2324_value_action_027,27,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,leakage_clearance,clearance,blocked,open_operator_value,leakage_clearance_required,cleared/no_leak style clearance value,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill leakage_clearance in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with cleared/no_leak style clearance value, then rerun the value gate.",false,false
H2324_value_action_028,28,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,operator_clearance,clearance,blocked,open_operator_value,operator_clearance_required,operator-cleared value,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill operator_clearance in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with operator-cleared value, then rerun the value gate.",false,false
H2324_value_action_029,29,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,operator,operator,blocked,open_operator_value,operator_required,operator id,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill operator in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with operator id, then rerun the value gate.",false,false
H2324_value_action_030,30,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,prediction_created_at,date,blocked,open_operator_value,prediction_created_at_required_iso_date,ISO date before native release,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill prediction_created_at in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with ISO date before native release, then rerun the value gate.",false,false
H2324_value_action_031,31,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,native_release_date,date,blocked,open_operator_value,native_release_date_required_iso_date,ISO native release date,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill native_release_date in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with ISO native release date, then rerun the value gate.",false,false
H2324_value_action_032,32,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,prediction_generated_before_native_release,boolean,blocked,open_operator_value,prediction_generated_before_native_release_required,true confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill prediction_generated_before_native_release in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with true confirmation, then rerun the value gate.",false,false
H2324_value_action_033,33,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,public_template_or_native_used_for_prediction,boolean,blocked,open_operator_value,public_template_or_native_used_for_prediction_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill public_template_or_native_used_for_prediction in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
H2324_value_action_034,34,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,other_team_model_used,boolean,blocked,open_operator_value,other_team_model_used_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill other_team_model_used in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
H2324_value_action_035,35,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,post_release_information_used,boolean,blocked,open_operator_value,post_release_information_used_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill post_release_information_used in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
H2324_value_action_036,36,H2324,"T Cell Receptor N17.2, complex (5 chains)",casp17/competitive_floor_batch_native_provenance_value_action_board/H2324_T_Cell_Receptor_N17_2_complex_5_chains,current_casp17_target,boolean,blocked,open_operator_value,current_casp17_target_must_be_false,false confirmation,,casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv,python3 tools/build_casp17_competitive_floor_batch_native_provenance_value_gate.py,"Fill current_casp17_target in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate.",false,false
