queue_rank,required_benchmark_id,required_target_id,scope,metric_profile,template_status,preflight_status,filled_field_count,missing_field_count,required_field_count,replacement_target_id,replacement_benchmark_id,prediction_pdb,native_pdb,no_leak_evidence_ref,ablation_manifest_ref,calibration_values_ref,intake_csv,preflight_csv,preflight_md,blockers,next_action
11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/11_hist_required_monomer_011/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/11_hist_required_monomer_011/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/11_hist_required_monomer_011/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/12_hist_required_monomer_012/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/12_hist_required_monomer_012/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/12_hist_required_monomer_012/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/13_hist_required_monomer_013/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/13_hist_required_monomer_013/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/13_hist_required_monomer_013/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/14_hist_required_monomer_014/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/14_hist_required_monomer_014/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/14_hist_required_monomer_014/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/15_hist_required_monomer_015/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/15_hist_required_monomer_015/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/15_hist_required_monomer_015/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/16_hist_required_monomer_016/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/16_hist_required_monomer_016/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/16_hist_required_monomer_016/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/17_hist_required_monomer_017/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/17_hist_required_monomer_017/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/17_hist_required_monomer_017/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/18_hist_required_monomer_018/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/18_hist_required_monomer_018/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/18_hist_required_monomer_018/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/19_hist_required_monomer_019/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/19_hist_required_monomer_019/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/19_hist_required_monomer_019/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/20_hist_required_monomer_020/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/20_hist_required_monomer_020/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/20_hist_required_monomer_020/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
21,hist_REQUIRED_MONOMER_021,REQUIRED_MONOMER_021,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
