candidate_rank,candidate_id,target_id,ligand_id,ligand_source_dataset,field_order,field_key,linked_action_id,linked_action_status,linked_action_md,current_evidence,required_artifact,evidence_request_kind,required_operator_value_format,accepted_evidence_examples,rejected_sources,metric_names,metric_bridge_row_count,metric_action_mds,packet_folder,operator_template_csv,dropzone_manifest_csv,evidence_stub_md,field_status,blocker,next_action
3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,1,direct_native_or_source_authority,organic_ligand_promotion_action_020,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/020_direct_native_or_source_authority/ACTION.md,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL4441871;chembl_target:CHEMBL2010636;chembl_document:CHEMBL4402584;chembl_assay:CHEMBL4405037;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex.pdb,direct experimental native/source authority for the same receptor-ligand system,direct_native_or_same_system_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",RCSB/PDB same receptor-ligand native source; source-system structure release record,homolog-only seed; generated pose; activity-only record without same-system structural authority,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/025_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/026_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/direct_native_or_source_authority.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/direct_native_or_source_authority.md, then fill operator_value, operator_evidence_ref, and operator_clearance for direct_native_or_source_authority"
3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,2,no_leak_provenance,organic_ligand_promotion_action_021,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/021_no_leak_provenance/ACTION.md,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required",independent no-leak provenance dossier and negative controls,independent_no_leak_provenance_dossier,path or URI to no-leak dossier plus negative controls,run manifest excluding native/templates/other-team models; timestamped input ledger,local path name only; current mtime only; broad assertion without source manifest,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/025_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/026_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/no_leak_provenance.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/no_leak_provenance.md, then fill operator_value, operator_evidence_ref, and operator_clearance for no_leak_provenance"
3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,3,prediction_chronology,organic_ligand_promotion_action_022,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/022_prediction_chronology/ACTION.md,strict_blind_replacement_or_authority_required,"prediction_created_at, native_release_date, before-native confirmation",prediction_before_native_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",immutable job ledger date earlier than authoritative native/source release date,post-native prediction; copied file date; true/false without source dates,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/025_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/026_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/prediction_chronology.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/prediction_chronology.md, then fill operator_value, operator_evidence_ref, and operator_clearance for prediction_chronology"
3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,4,ligand_pose_reference,organic_ligand_promotion_action_023,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/023_ligand_pose_reference/ACTION.md,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex.pdb,ligand pose/native interaction reference suitable for ligand metrics,metric_valid_ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,binding-site residue map; native ligand atom map; receptor chain/residue mapping,ligand-only activity label; unaligned homolog pose; template without atom identity mapping,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/025_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/026_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/ligand_pose_reference.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/ligand_pose_reference.md, then fill operator_value, operator_evidence_ref, and operator_clearance for ligand_pose_reference"
3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,5,strict_blind_slot_mapping,organic_ligand_promotion_action_027,open_slot_mapping_required,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/027_strict_blind_slot_mapping/ACTION.md,blocked_homolog_source_no_leak_and_chronology_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,strict_blind_metric_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",approved organic ligand strict-blind slot after direct authority and no-leak review,homolog-only candidate; retrospective-only calibration row; unreviewed slot alias,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/025_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/026_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/strict_blind_slot_mapping.md,awaiting_operator_evidence,open_slot_mapping_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/strict_blind_slot_mapping.md, then fill operator_value, operator_evidence_ref, and operator_clearance for strict_blind_slot_mapping"
4,organic_ligand_slot_candidate_004,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,tcruzi_pde_external_pdeb1_032_chembl4445930,ChEMBL,1,direct_native_or_source_authority,organic_ligand_promotion_action_029,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/029_direct_native_or_source_authority/ACTION.md,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL4445930;chembl_target:CHEMBL2010636;chembl_document:CHEMBL4346760;chembl_assay:CHEMBL4350844;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/04_tcruzi_pde_external_pdeb1_032_chembl4445930/protein_ligand_complex.pdb,direct experimental native/source authority for the same receptor-ligand system,direct_native_or_same_system_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",RCSB/PDB same receptor-ligand native source; source-system structure release record,homolog-only seed; generated pose; activity-only record without same-system structural authority,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/034_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/035_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/direct_native_or_source_authority.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/direct_native_or_source_authority.md, then fill operator_value, operator_evidence_ref, and operator_clearance for direct_native_or_source_authority"
4,organic_ligand_slot_candidate_004,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,tcruzi_pde_external_pdeb1_032_chembl4445930,ChEMBL,2,no_leak_provenance,organic_ligand_promotion_action_030,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/030_no_leak_provenance/ACTION.md,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required",independent no-leak provenance dossier and negative controls,independent_no_leak_provenance_dossier,path or URI to no-leak dossier plus negative controls,run manifest excluding native/templates/other-team models; timestamped input ledger,local path name only; current mtime only; broad assertion without source manifest,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/034_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/035_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/no_leak_provenance.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/no_leak_provenance.md, then fill operator_value, operator_evidence_ref, and operator_clearance for no_leak_provenance"
4,organic_ligand_slot_candidate_004,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,tcruzi_pde_external_pdeb1_032_chembl4445930,ChEMBL,3,prediction_chronology,organic_ligand_promotion_action_031,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/031_prediction_chronology/ACTION.md,strict_blind_replacement_or_authority_required,"prediction_created_at, native_release_date, before-native confirmation",prediction_before_native_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",immutable job ledger date earlier than authoritative native/source release date,post-native prediction; copied file date; true/false without source dates,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/034_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/035_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/prediction_chronology.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/prediction_chronology.md, then fill operator_value, operator_evidence_ref, and operator_clearance for prediction_chronology"
4,organic_ligand_slot_candidate_004,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,tcruzi_pde_external_pdeb1_032_chembl4445930,ChEMBL,4,ligand_pose_reference,organic_ligand_promotion_action_032,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/032_ligand_pose_reference/ACTION.md,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/04_tcruzi_pde_external_pdeb1_032_chembl4445930/protein_ligand_complex.pdb,ligand pose/native interaction reference suitable for ligand metrics,metric_valid_ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,binding-site residue map; native ligand atom map; receptor chain/residue mapping,ligand-only activity label; unaligned homolog pose; template without atom identity mapping,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/034_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/035_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/ligand_pose_reference.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/ligand_pose_reference.md, then fill operator_value, operator_evidence_ref, and operator_clearance for ligand_pose_reference"
4,organic_ligand_slot_candidate_004,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,tcruzi_pde_external_pdeb1_032_chembl4445930,ChEMBL,5,strict_blind_slot_mapping,organic_ligand_promotion_action_036,open_slot_mapping_required,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/036_strict_blind_slot_mapping/ACTION.md,blocked_homolog_source_no_leak_and_chronology_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,strict_blind_metric_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",approved organic ligand strict-blind slot after direct authority and no-leak review,homolog-only candidate; retrospective-only calibration row; unreviewed slot alias,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/034_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/035_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/strict_blind_slot_mapping.md,awaiting_operator_evidence,open_slot_mapping_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/04_tcruzi_pde_external_pdeb1_032_chembl4445930/field_evidence/strict_blind_slot_mapping.md, then fill operator_value, operator_evidence_ref, and operator_clearance for strict_blind_slot_mapping"
5,organic_ligand_slot_candidate_005,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,tcruzi_pde_external_pdeb1_007_chembl3764370,ChEMBL,1,direct_native_or_source_authority,organic_ligand_promotion_action_038,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/038_direct_native_or_source_authority/ACTION.md,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL3764370;chembl_target:CHEMBL2010636;chembl_document:CHEMBL3763060;chembl_assay:CHEMBL3769086;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/05_tcruzi_pde_external_pdeb1_007_chembl3764370/protein_ligand_complex.pdb,direct experimental native/source authority for the same receptor-ligand system,direct_native_or_same_system_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",RCSB/PDB same receptor-ligand native source; source-system structure release record,homolog-only seed; generated pose; activity-only record without same-system structural authority,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/043_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/044_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/direct_native_or_source_authority.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/direct_native_or_source_authority.md, then fill operator_value, operator_evidence_ref, and operator_clearance for direct_native_or_source_authority"
5,organic_ligand_slot_candidate_005,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,tcruzi_pde_external_pdeb1_007_chembl3764370,ChEMBL,2,no_leak_provenance,organic_ligand_promotion_action_039,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/039_no_leak_provenance/ACTION.md,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required",independent no-leak provenance dossier and negative controls,independent_no_leak_provenance_dossier,path or URI to no-leak dossier plus negative controls,run manifest excluding native/templates/other-team models; timestamped input ledger,local path name only; current mtime only; broad assertion without source manifest,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/043_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/044_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/no_leak_provenance.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/no_leak_provenance.md, then fill operator_value, operator_evidence_ref, and operator_clearance for no_leak_provenance"
5,organic_ligand_slot_candidate_005,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,tcruzi_pde_external_pdeb1_007_chembl3764370,ChEMBL,3,prediction_chronology,organic_ligand_promotion_action_040,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/040_prediction_chronology/ACTION.md,strict_blind_replacement_or_authority_required,"prediction_created_at, native_release_date, before-native confirmation",prediction_before_native_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",immutable job ledger date earlier than authoritative native/source release date,post-native prediction; copied file date; true/false without source dates,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/043_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/044_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/prediction_chronology.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/prediction_chronology.md, then fill operator_value, operator_evidence_ref, and operator_clearance for prediction_chronology"
5,organic_ligand_slot_candidate_005,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,tcruzi_pde_external_pdeb1_007_chembl3764370,ChEMBL,4,ligand_pose_reference,organic_ligand_promotion_action_041,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/041_ligand_pose_reference/ACTION.md,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/05_tcruzi_pde_external_pdeb1_007_chembl3764370/protein_ligand_complex.pdb,ligand pose/native interaction reference suitable for ligand metrics,metric_valid_ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,binding-site residue map; native ligand atom map; receptor chain/residue mapping,ligand-only activity label; unaligned homolog pose; template without atom identity mapping,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/043_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/044_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/ligand_pose_reference.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/ligand_pose_reference.md, then fill operator_value, operator_evidence_ref, and operator_clearance for ligand_pose_reference"
