action_id,candidate_rank,target_id,benchmark_id,scope,repair_class,blocker,priority,field_name,target_dropzone_field,action_status,candidate_status,candidate_folder,repair_folder,evidence_pointer,next_action
first_slot_repair_011,11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,native_authority,native_authority_missing,1,native_authority_ref,native_authority_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/native_authority_missing,,attach authoritative native/source reference for the candidate native structure
first_slot_repair_012,11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/prediction_not_before_native,prediction_created_at=2026-05-17;native_release_date=,attach a prediction artifact created before the authoritative native release date
first_slot_repair_013,12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,complex,native_authority,native_authority_missing,1,native_authority_ref,native_authority_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/native_authority_missing,,attach authoritative native/source reference for the candidate native structure
first_slot_repair_014,12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,complex,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/prediction_not_before_native,prediction_created_at=2026-05-17;native_release_date=,attach a prediction artifact created before the authoritative native release date
first_slot_repair_015,13,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,hist_seed_03_tcruzi_pde_external_pdeb1_025_chembl4441871,complex,native_authority,native_authority_missing,1,native_authority_ref,native_authority_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/native_authority_missing,,attach authoritative native/source reference for the candidate native structure
first_slot_repair_016,13,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,hist_seed_03_tcruzi_pde_external_pdeb1_025_chembl4441871,complex,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/prediction_not_before_native,prediction_created_at=2026-05-17;native_release_date=,attach a prediction artifact created before the authoritative native release date
first_slot_repair_017,14,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,native_authority,native_authority_missing,1,native_authority_ref,native_authority_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/native_authority_missing,,attach authoritative native/source reference for the candidate native structure
first_slot_repair_018,14,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/prediction_not_before_native,prediction_created_at=2026-05-17;native_release_date=,attach a prediction artifact created before the authoritative native release date
first_slot_repair_019,15,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,hist_seed_05_tcruzi_pde_external_pdeb1_007_chembl3764370,complex,native_authority,native_authority_missing,1,native_authority_ref,native_authority_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/native_authority_missing,,attach authoritative native/source reference for the candidate native structure
first_slot_repair_020,15,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,hist_seed_05_tcruzi_pde_external_pdeb1_007_chembl3764370,complex,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/prediction_not_before_native,prediction_created_at=2026-05-17;native_release_date=,attach a prediction artifact created before the authoritative native release date
first_slot_repair_021,16,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,hist_seed_06_tcruzi_pde_external_pdeb1_017_chembl3765606,complex,native_authority,native_authority_missing,1,native_authority_ref,native_authority_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/native_authority_missing,,attach authoritative native/source reference for the candidate native structure
first_slot_repair_022,16,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,hist_seed_06_tcruzi_pde_external_pdeb1_017_chembl3765606,complex,native_file,native_missing,1,native_pdb,native_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/native_missing,,attach authoritative native PDB for this candidate
first_slot_repair_023,16,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,hist_seed_06_tcruzi_pde_external_pdeb1_017_chembl3765606,complex,prediction_file,prediction_missing,1,prediction_pdb,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/prediction_missing,,attach local prediction PDB for this candidate
first_slot_repair_024,16,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,hist_seed_06_tcruzi_pde_external_pdeb1_017_chembl3765606,complex,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/prediction_not_before_native,prediction_created_at=;native_release_date=,attach a prediction artifact created before the authoritative native release date
first_slot_repair_025,17,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,hist_seed_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,complex,native_authority,native_authority_missing,1,native_authority_ref,native_authority_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/17_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/17_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/native_authority_missing,,attach authoritative native/source reference for the candidate native structure
first_slot_repair_026,17,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,hist_seed_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,complex,native_file,native_missing,1,native_pdb,native_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/17_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/17_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/native_missing,,attach authoritative native PDB for this candidate
first_slot_repair_027,17,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,hist_seed_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,complex,prediction_file,prediction_missing,1,prediction_pdb,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/17_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/17_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/prediction_missing,,attach local prediction PDB for this candidate
first_slot_repair_028,17,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,hist_seed_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,complex,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/17_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/17_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/prediction_not_before_native,prediction_created_at=;native_release_date=,attach a prediction artifact created before the authoritative native release date
first_slot_repair_029,1,HIST_BBA5,hist_seed_bba5,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/01_hist_bba5,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/01_hist_bba5/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/01_hist_bba5_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_030,2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/02_hist_chignolin,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/02_hist_chignolin/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_031,3,HIST_CRAMBIN,hist_seed_crambin,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/03_hist_crambin,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/03_hist_crambin/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/03_hist_crambin_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_032,4,HIST_FSD_1,hist_seed_fsd_1,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/04_hist_fsd_1,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/04_hist_fsd_1/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/04_hist_fsd_1_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_033,5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/05_hist_gb1_mini,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/05_hist_gb1_mini/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/05_hist_gb1_mini_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_034,6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/06_hist_protein_a_bdomain,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/06_hist_protein_a_bdomain/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/06_hist_protein_a_bdomain_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_035,7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/07_hist_trp_cage,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/07_hist_trp_cage/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/07_hist_trp_cage_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_036,8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/08_hist_ubiquitin_mini,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/08_hist_ubiquitin_mini/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/08_hist_ubiquitin_mini_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_037,9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/09_hist_villin_hp35,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/09_hist_villin_hp35/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/09_hist_villin_hp35_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_038,10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/10_hist_ww_domain_fip35,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/10_hist_ww_domain_fip35/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/10_hist_ww_domain_fip35_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_039,11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_040,12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,complex,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_041,13,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,hist_seed_03_tcruzi_pde_external_pdeb1_025_chembl4441871,complex,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_042,14,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_043,15,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,hist_seed_05_tcruzi_pde_external_pdeb1_007_chembl3764370,complex,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/no_leak_not_ready,casp17/historical_seed_no_leak_provenance_dossiers/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370_no_leak_provenance.md,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_044,16,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,hist_seed_06_tcruzi_pde_external_pdeb1_017_chembl3765606,complex,no_leak,no_leak_not_ready,2,no_leak_evidence_ref,no_leak_evidence_ref,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/no_leak_not_ready,,"complete independent no-leak evidence, negative controls, and operator clearance"
