queue_rank,required_benchmark_id,required_target_id,scope,quality_status,ready_for_quality_review,file_required_count,file_present_count,file_missing_count,pdb_valid_count,pdb_invalid_count,supporting_valid_count,supporting_invalid_count,prediction_status,native_status,prediction_atom_count,native_atom_count,prediction_ca_count,native_ca_count,prediction_sha256,native_sha256,prediction_native_relation,quality_md,blockers,next_action
13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/13_hist_required_monomer_013/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/14_hist_required_monomer_014/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/15_hist_required_monomer_015/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/16_hist_required_monomer_016/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/17_hist_required_monomer_017/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/18_hist_required_monomer_018/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/19_hist_required_monomer_019/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/20_hist_required_monomer_020/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
21,hist_REQUIRED_MONOMER_021,REQUIRED_MONOMER_021,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/21_hist_required_monomer_021/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
22,hist_REQUIRED_MONOMER_022,REQUIRED_MONOMER_022,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/22_hist_required_monomer_022/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
23,hist_REQUIRED_MONOMER_023,REQUIRED_MONOMER_023,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/23_hist_required_monomer_023/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
24,hist_REQUIRED_MONOMER_024,REQUIRED_MONOMER_024,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/24_hist_required_monomer_024/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
25,hist_REQUIRED_MONOMER_025,REQUIRED_MONOMER_025,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/25_hist_required_monomer_025/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
26,hist_REQUIRED_COMPLEX_001,REQUIRED_COMPLEX_001,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/26_hist_required_complex_001/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/27_hist_required_complex_002/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/28_hist_required_complex_003/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
29,hist_REQUIRED_COMPLEX_004,REQUIRED_COMPLEX_004,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/29_hist_required_complex_004/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
30,hist_REQUIRED_COMPLEX_005,REQUIRED_COMPLEX_005,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/30_hist_required_complex_005/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
31,hist_REQUIRED_COMPLEX_006,REQUIRED_COMPLEX_006,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/31_hist_required_complex_006/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
32,hist_REQUIRED_COMPLEX_007,REQUIRED_COMPLEX_007,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/32_hist_required_complex_007/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
33,hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/33_hist_required_complex_008/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
34,hist_REQUIRED_COMPLEX_009,REQUIRED_COMPLEX_009,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/34_hist_required_complex_009/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
35,hist_REQUIRED_COMPLEX_010,REQUIRED_COMPLEX_010,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/35_hist_required_complex_010/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
36,hist_REQUIRED_COMPLEX_011,REQUIRED_COMPLEX_011,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/36_hist_required_complex_011/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
37,hist_REQUIRED_COMPLEX_012,REQUIRED_COMPLEX_012,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/37_hist_required_complex_012/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
38,hist_REQUIRED_COMPLEX_013,REQUIRED_COMPLEX_013,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/38_hist_required_complex_013/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
39,hist_REQUIRED_COMPLEX_014,REQUIRED_COMPLEX_014,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/39_hist_required_complex_014/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
40,hist_REQUIRED_COMPLEX_015,REQUIRED_COMPLEX_015,complex,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/40_hist_required_complex_015/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
