action_rank,candidate_rank,candidate_id,target_id,ligand_id,ligand_source_dataset,action_id,action_type,action_status,required_artifact,current_evidence,blocks,recommended_owner,action_folder,action_md,next_action
11,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,organic_ligand_promotion_action_011,direct_native_or_source_authority,open_operator_evidence_required,direct experimental native/source authority for the same receptor-ligand system,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL2171451;chembl_target:CHEMBL2010636;chembl_document:CHEMBL2169737;chembl_assay:CHEMBL2175366;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex.pdb,"strict_blind_promotion,competitive_proof",operator,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/011_direct_native_or_source_authority,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/011_direct_native_or_source_authority/ACTION.md,attach direct non-homolog native/source authority or explicitly replace this candidate
12,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,organic_ligand_promotion_action_012,no_leak_provenance,open_operator_evidence_required,independent no-leak provenance dossier and negative controls,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required","strict_blind_promotion,metric_surface",operator,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/012_no_leak_provenance,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/012_no_leak_provenance/ACTION.md,attach independent no-leak evidence and operator clearance for this ligand candidate
13,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,organic_ligand_promotion_action_013,prediction_chronology,open_operator_evidence_required,"prediction_created_at, native_release_date, before-native confirmation",strict_blind_replacement_or_authority_required,"strict_blind_promotion,competitive_proof",operator,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/013_prediction_chronology,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/013_prediction_chronology/ACTION.md,prove prediction chronology is before native/source release or keep candidate retrospective-only
14,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,organic_ligand_promotion_action_014,ligand_pose_reference,open_operator_evidence_required,ligand pose/native interaction reference suitable for ligand metrics,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex.pdb,"LDDT-PLI,BiSyRMSD",operator,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/014_ligand_pose_reference,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/014_ligand_pose_reference/ACTION.md,"attach a metric-valid ligand pose reference, including receptor/ligand chain and residue mapping"
15,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,organic_ligand_promotion_action_015,affinity_numeric_label,open_numeric_value_required,numeric affinity label with units and assay provenance,IC50,Kendall_tau_affinity,operator,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/015_affinity_numeric_label,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/015_affinity_numeric_label/ACTION.md,"attach numeric Ki/IC50/Kd value, units, assay reference, censoring flag, and transform rule"
16,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,organic_ligand_promotion_action_016,lddt_pli_metric_inputs,open_metric_input_required,native and prediction receptor-ligand interaction maps for LDDT-PLI,"LDDT-PLI,BiSyRMSD,Kendall_tau_affinity",LDDT-PLI,operator,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/016_lddt_pli_metric_inputs,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/016_lddt_pli_metric_inputs/ACTION.md,prepare LDDT-PLI input JSON after direct authority and no-leak evidence clear
17,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,organic_ligand_promotion_action_017,bisyrmsd_metric_inputs,open_metric_input_required,binding-site superposition and symmetry-corrected ligand pose RMSD inputs,"LDDT-PLI,BiSyRMSD,Kendall_tau_affinity",BiSyRMSD,operator,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/017_bisyrmsd_metric_inputs,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/017_bisyrmsd_metric_inputs/ACTION.md,prepare BiSyRMSD input JSON after ligand pose reference is approved
18,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,organic_ligand_promotion_action_018,strict_blind_slot_mapping,open_slot_mapping_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,blocked_homolog_source_no_leak_and_chronology_required,"metric_surface_contract,competitive_floor",operator,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/018_strict_blind_slot_mapping,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/018_strict_blind_slot_mapping/ACTION.md,map only cleared candidates into organic ligand strict-blind slots; do not use homolog-only candidates
19,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,organic_ligand_promotion_action_019,reference_file_preflight,reference_files_present_review_only,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex.pdb;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex_minimized.pdb;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/ligand.mol2;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/ligand_template.xml,casp17/organic_ligand_slot_candidate_packet/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/CANDIDATE.md,candidate_core_files,operator,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/019_reference_file_preflight,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/019_reference_file_preflight/ACTION.md,"local reference/prediction/ligand files are present, but proof authority is still blocked"
20,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,organic_ligand_promotion_action_020,direct_native_or_source_authority,open_operator_evidence_required,direct experimental native/source authority for the same receptor-ligand system,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL4441871;chembl_target:CHEMBL2010636;chembl_document:CHEMBL4402584;chembl_assay:CHEMBL4405037;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex.pdb,"strict_blind_promotion,competitive_proof",operator,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/020_direct_native_or_source_authority,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/020_direct_native_or_source_authority/ACTION.md,attach direct non-homolog native/source authority or explicitly replace this candidate
21,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,organic_ligand_promotion_action_021,no_leak_provenance,open_operator_evidence_required,independent no-leak provenance dossier and negative controls,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required","strict_blind_promotion,metric_surface",operator,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/021_no_leak_provenance,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/021_no_leak_provenance/ACTION.md,attach independent no-leak evidence and operator clearance for this ligand candidate
22,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,organic_ligand_promotion_action_022,prediction_chronology,open_operator_evidence_required,"prediction_created_at, native_release_date, before-native confirmation",strict_blind_replacement_or_authority_required,"strict_blind_promotion,competitive_proof",operator,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/022_prediction_chronology,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/022_prediction_chronology/ACTION.md,prove prediction chronology is before native/source release or keep candidate retrospective-only
23,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,organic_ligand_promotion_action_023,ligand_pose_reference,open_operator_evidence_required,ligand pose/native interaction reference suitable for ligand metrics,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex.pdb,"LDDT-PLI,BiSyRMSD",operator,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/023_ligand_pose_reference,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/023_ligand_pose_reference/ACTION.md,"attach a metric-valid ligand pose reference, including receptor/ligand chain and residue mapping"
24,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,organic_ligand_promotion_action_024,affinity_numeric_label,open_numeric_value_required,numeric affinity label with units and assay provenance,Ki,Kendall_tau_affinity,operator,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/024_affinity_numeric_label,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/024_affinity_numeric_label/ACTION.md,"attach numeric Ki/IC50/Kd value, units, assay reference, censoring flag, and transform rule"
25,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,organic_ligand_promotion_action_025,lddt_pli_metric_inputs,open_metric_input_required,native and prediction receptor-ligand interaction maps for LDDT-PLI,"LDDT-PLI,BiSyRMSD,Kendall_tau_affinity",LDDT-PLI,operator,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/025_lddt_pli_metric_inputs,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/025_lddt_pli_metric_inputs/ACTION.md,prepare LDDT-PLI input JSON after direct authority and no-leak evidence clear
26,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,organic_ligand_promotion_action_026,bisyrmsd_metric_inputs,open_metric_input_required,binding-site superposition and symmetry-corrected ligand pose RMSD inputs,"LDDT-PLI,BiSyRMSD,Kendall_tau_affinity",BiSyRMSD,operator,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/026_bisyrmsd_metric_inputs,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/026_bisyrmsd_metric_inputs/ACTION.md,prepare BiSyRMSD input JSON after ligand pose reference is approved
27,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,ChEMBL,organic_ligand_promotion_action_027,strict_blind_slot_mapping,open_slot_mapping_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,blocked_homolog_source_no_leak_and_chronology_required,"metric_surface_contract,competitive_floor",operator,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/027_strict_blind_slot_mapping,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/027_strict_blind_slot_mapping/ACTION.md,map only cleared candidates into organic ligand strict-blind slots; do not use homolog-only candidates
28,4,organic_ligand_slot_candidate_004,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,tcruzi_pde_external_pdeb1_032_chembl4445930,ChEMBL,organic_ligand_promotion_action_028,reference_file_preflight,reference_files_present_review_only,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/04_tcruzi_pde_external_pdeb1_032_chembl4445930/protein_ligand_complex.pdb;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/04_tcruzi_pde_external_pdeb1_032_chembl4445930/protein_ligand_complex_minimized.pdb;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/04_tcruzi_pde_external_pdeb1_032_chembl4445930/ligand.mol2;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/04_tcruzi_pde_external_pdeb1_032_chembl4445930/ligand_template.xml,casp17/organic_ligand_slot_candidate_packet/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/CANDIDATE.md,candidate_core_files,operator,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/028_reference_file_preflight,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/028_reference_file_preflight/ACTION.md,"local reference/prediction/ligand files are present, but proof authority is still blocked"
29,4,organic_ligand_slot_candidate_004,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,tcruzi_pde_external_pdeb1_032_chembl4445930,ChEMBL,organic_ligand_promotion_action_029,direct_native_or_source_authority,open_operator_evidence_required,direct experimental native/source authority for the same receptor-ligand system,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL4445930;chembl_target:CHEMBL2010636;chembl_document:CHEMBL4346760;chembl_assay:CHEMBL4350844;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/04_tcruzi_pde_external_pdeb1_032_chembl4445930/protein_ligand_complex.pdb,"strict_blind_promotion,competitive_proof",operator,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/029_direct_native_or_source_authority,casp17/organic_ligand_slot_promotion_action_board/04_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/029_direct_native_or_source_authority/ACTION.md,attach direct non-homolog native/source authority or explicitly replace this candidate
