queue_rank,required_benchmark_id,required_target_id,scope,metric_profile,dropzone_status,dropzone_folder,file_required_count,file_present_count,file_missing_count,operator_value_required_count,patch_preview_csv,dropzone_md,next_action,blockers
12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/12_hist_required_monomer_012,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/12_hist_required_monomer_012/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/12_hist_required_monomer_012/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/13_hist_required_monomer_013,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/13_hist_required_monomer_013/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/13_hist_required_monomer_013/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/14_hist_required_monomer_014,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/14_hist_required_monomer_014/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/14_hist_required_monomer_014/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/15_hist_required_monomer_015,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/15_hist_required_monomer_015/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/15_hist_required_monomer_015/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/16_hist_required_monomer_016,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/16_hist_required_monomer_016/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/16_hist_required_monomer_016/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/17_hist_required_monomer_017,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/17_hist_required_monomer_017/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/17_hist_required_monomer_017/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/18_hist_required_monomer_018,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/18_hist_required_monomer_018/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/18_hist_required_monomer_018/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/19_hist_required_monomer_019,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/19_hist_required_monomer_019/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/19_hist_required_monomer_019/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/20_hist_required_monomer_020,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/20_hist_required_monomer_020/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/20_hist_required_monomer_020/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
21,hist_REQUIRED_MONOMER_021,REQUIRED_MONOMER_021,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/21_hist_required_monomer_021,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/21_hist_required_monomer_021/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/21_hist_required_monomer_021/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
22,hist_REQUIRED_MONOMER_022,REQUIRED_MONOMER_022,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/22_hist_required_monomer_022,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/22_hist_required_monomer_022/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/22_hist_required_monomer_022/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
23,hist_REQUIRED_MONOMER_023,REQUIRED_MONOMER_023,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/23_hist_required_monomer_023,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/23_hist_required_monomer_023/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/23_hist_required_monomer_023/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
24,hist_REQUIRED_MONOMER_024,REQUIRED_MONOMER_024,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/24_hist_required_monomer_024,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/24_hist_required_monomer_024/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/24_hist_required_monomer_024/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
25,hist_REQUIRED_MONOMER_025,REQUIRED_MONOMER_025,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/25_hist_required_monomer_025,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/25_hist_required_monomer_025/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/25_hist_required_monomer_025/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
26,hist_REQUIRED_COMPLEX_001,REQUIRED_COMPLEX_001,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/26_hist_required_complex_001,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/26_hist_required_complex_001/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/26_hist_required_complex_001/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/27_hist_required_complex_002,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/27_hist_required_complex_002/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/27_hist_required_complex_002/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/28_hist_required_complex_003,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/28_hist_required_complex_003/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/28_hist_required_complex_003/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
29,hist_REQUIRED_COMPLEX_004,REQUIRED_COMPLEX_004,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/29_hist_required_complex_004,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/29_hist_required_complex_004/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/29_hist_required_complex_004/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
30,hist_REQUIRED_COMPLEX_005,REQUIRED_COMPLEX_005,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/30_hist_required_complex_005,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/30_hist_required_complex_005/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/30_hist_required_complex_005/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
31,hist_REQUIRED_COMPLEX_006,REQUIRED_COMPLEX_006,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/31_hist_required_complex_006,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/31_hist_required_complex_006/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/31_hist_required_complex_006/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
32,hist_REQUIRED_COMPLEX_007,REQUIRED_COMPLEX_007,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/32_hist_required_complex_007,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/32_hist_required_complex_007/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/32_hist_required_complex_007/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
33,hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/33_hist_required_complex_008,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/33_hist_required_complex_008/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/33_hist_required_complex_008/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
34,hist_REQUIRED_COMPLEX_009,REQUIRED_COMPLEX_009,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/34_hist_required_complex_009,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/34_hist_required_complex_009/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/34_hist_required_complex_009/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
35,hist_REQUIRED_COMPLEX_010,REQUIRED_COMPLEX_010,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/35_hist_required_complex_010,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/35_hist_required_complex_010/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/35_hist_required_complex_010/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
36,hist_REQUIRED_COMPLEX_011,REQUIRED_COMPLEX_011,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/36_hist_required_complex_011,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/36_hist_required_complex_011/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/36_hist_required_complex_011/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
37,hist_REQUIRED_COMPLEX_012,REQUIRED_COMPLEX_012,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/37_hist_required_complex_012,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/37_hist_required_complex_012/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/37_hist_required_complex_012/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
38,hist_REQUIRED_COMPLEX_013,REQUIRED_COMPLEX_013,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/38_hist_required_complex_013,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/38_hist_required_complex_013/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/38_hist_required_complex_013/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
39,hist_REQUIRED_COMPLEX_014,REQUIRED_COMPLEX_014,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/39_hist_required_complex_014,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/39_hist_required_complex_014/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/39_hist_required_complex_014/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
40,hist_REQUIRED_COMPLEX_015,REQUIRED_COMPLEX_015,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/40_hist_required_complex_015,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/40_hist_required_complex_015/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/40_hist_required_complex_015/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
