action_id,target_id,repair_class,blocker,action_status,feasibility_status,feasibility_reason,prediction_created_at,native_release_date,current_prediction_before_native,next_route,required_operator_input
first_slot_repair_011,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,native_authority,native_authority_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,2026-05-17,,,attach_authoritative_source_file_or_reference,attach authoritative native/source reference for the candidate native structure
first_slot_repair_012,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,chronology,prediction_not_before_native,open_repair_action,needs_chronology_date_evidence,prediction/native dates are missing or invalid,2026-05-17,,,fill_prediction_created_at_and_native_release_date,authoritative prediction timestamp and native release date
first_slot_repair_013,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,native_authority,native_authority_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,2026-05-17,,,attach_authoritative_source_file_or_reference,attach authoritative native/source reference for the candidate native structure
first_slot_repair_014,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,chronology,prediction_not_before_native,open_repair_action,needs_chronology_date_evidence,prediction/native dates are missing or invalid,2026-05-17,,,fill_prediction_created_at_and_native_release_date,authoritative prediction timestamp and native release date
first_slot_repair_015,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,native_authority,native_authority_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,2026-05-17,,,attach_authoritative_source_file_or_reference,attach authoritative native/source reference for the candidate native structure
first_slot_repair_016,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,chronology,prediction_not_before_native,open_repair_action,needs_chronology_date_evidence,prediction/native dates are missing or invalid,2026-05-17,,,fill_prediction_created_at_and_native_release_date,authoritative prediction timestamp and native release date
first_slot_repair_017,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,native_authority,native_authority_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,2026-05-17,,,attach_authoritative_source_file_or_reference,attach authoritative native/source reference for the candidate native structure
first_slot_repair_018,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,chronology,prediction_not_before_native,open_repair_action,needs_chronology_date_evidence,prediction/native dates are missing or invalid,2026-05-17,,,fill_prediction_created_at_and_native_release_date,authoritative prediction timestamp and native release date
first_slot_repair_019,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,native_authority,native_authority_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,2026-05-17,,,attach_authoritative_source_file_or_reference,attach authoritative native/source reference for the candidate native structure
first_slot_repair_020,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,chronology,prediction_not_before_native,open_repair_action,needs_chronology_date_evidence,prediction/native dates are missing or invalid,2026-05-17,,,fill_prediction_created_at_and_native_release_date,authoritative prediction timestamp and native release date
first_slot_repair_021,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,native_authority,native_authority_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,,,,attach_authoritative_source_file_or_reference,attach authoritative native/source reference for the candidate native structure
first_slot_repair_022,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,native_file,native_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,,,,attach_authoritative_source_file_or_reference,attach authoritative native PDB for this candidate
first_slot_repair_023,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,prediction_file,prediction_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,,,,attach_authoritative_source_file_or_reference,attach local prediction PDB for this candidate
first_slot_repair_024,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,chronology,prediction_not_before_native,open_repair_action,needs_chronology_date_evidence,prediction/native dates are missing or invalid,,,,fill_prediction_created_at_and_native_release_date,authoritative prediction timestamp and native release date
first_slot_repair_025,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,native_authority,native_authority_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,,,,attach_authoritative_source_file_or_reference,attach authoritative native/source reference for the candidate native structure
first_slot_repair_026,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,native_file,native_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,,,,attach_authoritative_source_file_or_reference,attach authoritative native PDB for this candidate
first_slot_repair_027,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,prediction_file,prediction_missing,open_repair_action,repairable_operator_source_required,missing source material can be supplied by operator if authoritative,,,,attach_authoritative_source_file_or_reference,attach local prediction PDB for this candidate
first_slot_repair_028,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,chronology,prediction_not_before_native,open_repair_action,needs_chronology_date_evidence,prediction/native dates are missing or invalid,,,,fill_prediction_created_at_and_native_release_date,authoritative prediction timestamp and native release date
first_slot_repair_029,HIST_BBA5,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2004-05-13,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_030,HIST_CHIGNOLIN,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2003-03-13,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_031,HIST_CRAMBIN,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1981-04-30,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_032,HIST_FSD_1,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1997-06-09,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_033,HIST_GB1_MINI,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1991-05-15,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_034,HIST_PROTEIN_A_BDOMAIN,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1996-06-28,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_035,HIST_TRP_CAGE,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2002-02-25,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_036,HIST_UBIQUITIN_MINI,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1987-01-02,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_037,HIST_VILLIN_HP35,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2005-02-03,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_038,HIST_WW_DOMAIN_FIP35,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2005-11-15,False,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_039,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_040,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_041,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_042,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_043,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_044,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,,,,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_045,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,no_leak,no_leak_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,,,,complete_operator_evidence_after_chronology,"complete independent no-leak evidence, negative controls, and operator clearance"
first_slot_repair_046,HIST_BBA5,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2004-05-13,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_047,HIST_CHIGNOLIN,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2003-03-13,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_048,HIST_CRAMBIN,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1981-04-30,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_049,HIST_FSD_1,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1997-06-09,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_050,HIST_GB1_MINI,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1991-05-15,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_051,HIST_PROTEIN_A_BDOMAIN,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1996-06-28,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_052,HIST_TRP_CAGE,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2002-02-25,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_053,HIST_UBIQUITIN_MINI,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1987-01-02,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_054,HIST_VILLIN_HP35,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2005-02-03,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_055,HIST_WW_DOMAIN_FIP35,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2005-11-15,False,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_056,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_057,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_058,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_059,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_060,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_061,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,,,,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_062,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,ablation,ablation_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,,,,complete_operator_evidence_after_chronology,attach same-run ablation layer evidence; deterministic top5 decoys remain review-only
first_slot_repair_063,HIST_BBA5,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2004-05-13,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_064,HIST_CHIGNOLIN,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2003-03-13,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_065,HIST_CRAMBIN,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1981-04-30,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_066,HIST_FSD_1,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1997-06-09,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_067,HIST_GB1_MINI,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1991-05-15,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_068,HIST_PROTEIN_A_BDOMAIN,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1996-06-28,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_069,HIST_TRP_CAGE,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2002-02-25,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_070,HIST_UBIQUITIN_MINI,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,1987-01-02,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_071,HIST_VILLIN_HP35,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2005-02-03,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_072,HIST_WW_DOMAIN_FIP35,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-02-19,2005-11-15,False,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_073,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_074,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_075,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_076,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_077,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,2026-05-17,,,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_078,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,,,,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_079,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,calibration,calibration_not_ready,open_repair_action,repairable_operator_evidence_required,operator evidence is required after chronology/source gates,,,,complete_operator_evidence_after_chronology,operator-fill calibration values after no-leak provenance clearance
first_slot_repair_080,HIST_BBA5,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,2004-05-13,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_081,HIST_CHIGNOLIN,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,2003-03-13,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_082,HIST_CRAMBIN,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,1981-04-30,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_083,HIST_FSD_1,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,1997-06-09,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_084,HIST_GB1_MINI,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,1991-05-15,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_085,HIST_PROTEIN_A_BDOMAIN,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,1996-06-28,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_086,HIST_TRP_CAGE,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,2002-02-25,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_087,HIST_UBIQUITIN_MINI,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,1987-01-02,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_088,HIST_VILLIN_HP35,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,2005-02-03,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_089,HIST_WW_DOMAIN_FIP35,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_post_native_prediction,eligibility cannot clear while current prediction is post-native,2026-02-19,2005-11-15,False,source_external_pre_native_prediction_or_replace_candidate,clear chronology with pre-native prediction evidence before promotion
first_slot_repair_090,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_primary_repairs,"eligibility waits for chronology, no-leak, ablation, and calibration repairs",2026-05-17,,,complete_primary_repair_actions,primary repair evidence bundle
first_slot_repair_091,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_primary_repairs,"eligibility waits for chronology, no-leak, ablation, and calibration repairs",2026-05-17,,,complete_primary_repair_actions,primary repair evidence bundle
first_slot_repair_092,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_primary_repairs,"eligibility waits for chronology, no-leak, ablation, and calibration repairs",2026-05-17,,,complete_primary_repair_actions,primary repair evidence bundle
first_slot_repair_093,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_primary_repairs,"eligibility waits for chronology, no-leak, ablation, and calibration repairs",2026-05-17,,,complete_primary_repair_actions,primary repair evidence bundle
first_slot_repair_094,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,eligibility,strict_blind_not_eligible,blocked_waiting_on_primary_repairs,blocked_by_primary_repairs,"eligibility waits for chronology, no-leak, ablation, and calibration repairs",2026-05-17,,,complete_primary_repair_actions,primary repair evidence bundle
