artifact_id,label,status,ready_count,blocked_count,total_count,path,next_action,blockers
win_tier_goal_scorecard,CASP17 scaffold/proof/category win-tier goal scorecard,blocked_input,1,9,10,runs/casp17_win_tier_goal_scorecard_current.json,place the cleared native PDB in the per-target native dropzone,historical_identity_clearance
historical_winner_normalized_bands,CASP15/16 winner-normalized top-band comparison contract,blocked_strict_blind_metrics_missing,0,5,5,casp17/casp17_historical_winner_normalized_bands_current.json,score CASP15-style no-leak regular-domain replay rows and compare SUM Zscore to official top bands,"bands:0/0/5/5,strict:0/40,metrics:0/440,official_archive:24/0,first:casp15_regular_domain/strict_blind_historical_metric_surface_missing"
historical_winner_normalized_unlock_plan,CASP15/16 winner-normalized unlock action plan,awaiting_historical_winner_normalized_unlocks,1,5,6,casp17/casp17_historical_winner_normalized_unlock_plan_current.json,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence","actions:1/5/6,strict:0/40,metrics:0/440,sidechain:0/40,winner_bands:0/5,first:close_first_source_request/strict_blind_internal_prediction_source/prediction_not_before_native"
win_tier_metric_surface_contract,CASP17 win-tier official-like metric surface input/output contract,awaiting_strict_blind_evidence_files_and_ligand_category_slots,0,440,440,casp17/casp17_win_tier_metric_surface_contract_current.json,fill strict-blind prediction/native/no-leak evidence for 40 historical slots and add organic ligand-protein historical slots before claiming full CASP17 win-tier metric surface,"metrics:11/11,slots:0/40/40,rows:0/440/440,ligand_slots:0,official_archive:excluded_from_competitive_proof"
win_tier_critical_path_board,CASP17 win-tier critical path board,competitive_proof_blocked_on_strict_blind_evidence,3,6,9,casp17/casp17_win_tier_critical_path_board_current.json,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool","3d:58/58,external:15/15,model1/top5:15/75,strict:0/40,missing_files:240,operator_open:400,first:strict_blind_batch_closure_runway"
organic_ligand_slot_candidate_packet,CASP17 organic ligand-protein historical slot candidate packet,organic_ligand_slot_candidates_ready_for_operator_review,7,7,7,casp17/casp17_organic_ligand_slot_candidate_packet_current.json,choose review-ready organic ligand candidates only after direct authority/no-leak evidence is attached; then map selected rows into organic ligand strict-blind slots for LDDT-PLI and BiSyRMSD,"chembl/bindingdb:6/1,proof_eligible:0,strict_blocked:7,files:7/7/7,metrics:7/7,metric_ligand_slots:0"
organic_ligand_slot_promotion_action_board,CASP17 organic ligand strict-blind promotion evidence action board,awaiting_organic_ligand_strict_blind_evidence,7,56,63,casp17/casp17_organic_ligand_slot_promotion_action_board_current.json,"work the direct-authority, no-leak, chronology, ligand-pose, affinity, and metric-input actions before mapping any candidate into an organic ligand strict-blind slot","candidates:7,operator:28,numeric:6,affinity_source:1,metric:14,slot:7,proof_ready:0"
active_scope_decision,CASP17 active scope and CAPRI hold decision,casp17_only_active,3,0,4,casp17/casp17_active_scope_decision_current.json,"clear historical non-CASP17 target identity, no-leak provenance, native files, and prediction files","scope:casp17_only,capri:deferred_pi_required"
organizer_notice_packet,CASP17 organizer notice intake and MassiveFold external model-pool guardrails,organizer_notice_intake_ready,15,0,15,casp17/casp17_organizer_notice_packet_current.json,"keep R2345 09:30 Pacific request quarantined, validate the 11:30 Pacific RNA sequence, and treat MassiveFold tarballs as external rerank/accuracy-estimation pools until CASP rule use is checked","r2345_first:ignored_invalid_dna_t_in_rna_sequence,r2345_second:accepted_second_request_only,scope:all_human_rna_and_hybrid_targets_plus_protein_targets,massivefold_rna_hybrid:6,r2341:True,r2345:True,policy:do_not_mark_as_internal_prediction"
massivefold_external_pool_intake,CASP17 MassiveFold external pool acquisition and rerank guardrail lane,massivefold_external_pool_intake_ready,15,0,15,casp17/casp17_massivefold_external_pool_intake_current.json,"download selected tarballs only into the external-pool lane, record hashes/extraction manifests, then use them for model ranking and accuracy-estimation calibration without internal proof claims","rna_hybrid:6,protein_complex:9,proof_eligible:0,internal_blocked:15,r2341:True,r2345:True,largest:H2339_T332"
rna_hybrid_massivefold_priority_queue,CASP17 RNA/hybrid MassiveFold external-pool priority and sequence-guard queue,rna_hybrid_massivefold_priority_queue_ready,6,0,6,casp17/casp17_rna_hybrid_massivefold_priority_queue_current.json,start with R2341 for rule-checked external-pool acquisition and reranking; keep the R2345 09:30 Pacific DNA-T request quarantined and validate only the 11:30 Pacific RNA request before use,"first:R2341,r2341_rank:1,r2345_rank:2,r2345_invalid:ignored_invalid_dna_t_in_rna_sequence,r2345_active:accepted_second_request_only,proof_eligible:0,internal_blocked:6"
protein_complex_massivefold_priority_queue,CASP17 protein/complex MassiveFold external-pool priority queue,protein_complex_massivefold_priority_queue_ready,9,0,9,casp17/casp17_protein_complex_massivefold_priority_queue_current.json,"start with the first protein/complex MassiveFold pool, preserve external provenance, and use these models only for rerank/accuracy-estimation until CASP use rules are checked","first:H1311,model_set:H1311_T327,largest:H2339_T332,proof_eligible:0,internal_blocked:9"
massivefold_acquisition_verification_board,CASP17 MassiveFold external-pool tarball hash and listing verification board,massivefold_external_pool_acquisition_verified,6,0,6,casp17/casp17_massivefold_acquisition_verification_board_current.json,pool may be used only as an external rerank/accuracy-estimation input with provenance preserved,"first:R2341,download:6,hash:6,listing:6,verified:6,r2341:verified_for_external_rerank_intake,r2345:verified_for_external_rerank_intake"
protein_complex_massivefold_acquisition_verification_board,CASP17 protein/complex MassiveFold tarball hash and listing verification board,massivefold_external_pool_acquisition_verified,9,0,9,casp17/casp17_protein_complex_massivefold_acquisition_verification_board_current.json,pool may be used only as an external rerank/accuracy-estimation input with provenance preserved,"first:H1311,open:,status:,download:9,hash:9,listing:9"
massivefold_model_pool_index,CASP17 MassiveFold verified model-pool index and balanced representative extraction board,massivefold_model_pool_representatives_extracted,40,0,40,casp17/casp17_massivefold_model_pool_index_current.json,"extract the balanced representative member list from the verified tarball, then run external rerank and accuracy-estimation calibration without internal-proof claims","target:R2341,models:8040,protocols:8,selected:40,extracted:40,pending:0,sha:cfaaad6299ff"
massivefold_representative_viewer_packet,"CASP17 MassiveFold representative CIF folders, projections, and local 3D viewers",massivefold_representative_viewers_ready,40,0,40,casp17/casp17_massivefold_representative_viewer_packet_current.json,"open the per-selection viewers for manual conformation triage, then feed these external models into rerank and accuracy-estimation calibration without submission or proof claims","target:R2341,models:40,viewers:40,blocked:0,coordinates:40,model_cif:40,projection:40,first:casp17/massivefold_representative_viewers/r2341/selection_001_woUnpaired_woPaired_woTemplates_model_1/viewer.html"
massivefold_representative_rerank_packet,CASP17 MassiveFold representative review-only model1/top5 rerank board,massivefold_representative_rerank_ready_review_only,5,35,40,casp17/casp17_massivefold_representative_rerank_packet_current.json,use the review-only model1/top5 picks as accuracy-estimation and conformation-triage inputs; do not submit or count them as internal competitive proof without CASP rule and provenance clearance,"target:R2341,candidates:40,model1:1,top5:5,top5_protocols:5,proof_eligible:0,model1_file:Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif"
massivefold_rna_model_selection_coverage,"CASP17 MassiveFold RNA target acquisition, viewer, and review-only rerank coverage",massivefold_rna_model_selection_coverage_ready_review_only,6,0,6,casp17/casp17_massivefold_rna_model_selection_coverage_current.json,"use verified review-only model1/top5 picks as RNA model-selection inputs, then repeat acquisition when organizers release another RNA/hybrid target without submission or internal-proof claims","targets:6,ready:6,verified:6,index:6,viewers:6,rerank:6,models:240/240/240,model1/top5:6/30,first_partial:"
massivefold_rna_model_selection_input_packet,CASP17 MassiveFold RNA external-only model1/top5 model-selection input packet,massivefold_rna_model_selection_input_packet_ready_external_only,6,0,6,casp17/casp17_massivefold_rna_model_selection_input_packet_current.json,feed external-only RNA model1/top5 pointers into self-assessment calibration and rerank experiments while preserving R2345 sequence quarantine and no-submission boundaries,"targets:6,ready:6,model1/top5:6/30,missing:0,r2345_guard:ignore_0930_pacific_invalid_dna_t_request_use_1130_replacement_only,policy:do_not_mark_as_internal_prediction,first:"
massivefold_rna_self_assessment_packet,CASP17 MassiveFold RNA external-only self-assessment and model1 risk feature packet,massivefold_rna_self_assessment_ready_external_only,6,0,6,casp17/casp17_massivefold_rna_self_assessment_packet_current.json,use the external-only self-assessment features to stress-test model1 selection and confidence calibration while keeping native-free and no-submission boundaries,"targets:6,ready:6,candidates:30,model1/top5:6/30,low_margin:5,r2345_guard:ignore_0930_pacific_invalid_dna_t_request_use_1130_replacement_only,policy:do_not_mark_as_internal_prediction,first:"
protein_complex_massivefold_model_selection_coverage,"CASP17 MassiveFold protein/complex acquisition, viewer, and review-only rerank coverage",protein_complex_massivefold_model_selection_coverage_ready_review_only,9,0,9,casp17/casp17_protein_complex_massivefold_model_selection_coverage_current.json,use verified review-only model1/top5 picks as protein/complex conformation-triage and accuracy-estimation inputs while keeping them outside internal competitive-proof claims,"targets:9,ready:9,verified:9,index:9,viewers:9,rerank:9,models:1170/1170/1170,model1/top5:9/45,first_partial:"
protein_complex_massivefold_self_assessment_packet,CASP17 protein/complex MassiveFold external-only self-assessment and model1 risk feature packet,protein_complex_massivefold_self_assessment_ready_external_only,9,0,9,casp17/casp17_protein_complex_massivefold_self_assessment_packet_current.json,"use external-only protein/complex self-assessment features to stress-test model1 selection, interface triage, and confidence calibration without native or submission claims","targets:9,ready:9,heteromer:8,candidates:45,model1/top5:9/45,missing:0,low_margin:8,policy:do_not_mark_as_internal_prediction,first:"
massivefold_model1_risk_queue,CASP17 MassiveFold external-only unified model1 risk queue for RNA and protein/complex targets,massivefold_model1_risk_queue_ready_external_only,15,0,15,casp17/casp17_massivefold_model1_risk_queue_current.json,"work low-margin model1 targets first, especially protein/immune complexes, and use the queue to drive external rerank and self-assessment calibration experiments","targets:15,ready:15,low_margin:13,critical:4,rna/protein:6/9,first:R2350,gap:0.02292,tier:critical_model1_margin,policy:do_not_mark_as_internal_prediction"
massivefold_critical_rerank_experiment,CASP17 MassiveFold critical no-native rerank and calibration experiment packet,massivefold_critical_rerank_experiment_ready_external_only,4,0,4,casp17/casp17_massivefold_critical_rerank_experiment_current.json,"run the critical no-native rerank probes, then promote calibrated model1 selection rules back into the accuracy-estimation lane","experiments:4,ready:4,rna/protein:3/1,reviews:2/2/1,first:R2350,formula:gap_plus_geometry_plus_diversity_penalty_v1,policy:do_not_mark_as_internal_prediction"
massivefold_critical_rerank_score_ledger,CASP17 MassiveFold critical no-native rerank score ledger,massivefold_critical_rerank_score_ledger_ready_external_only,4,0,4,casp17/casp17_massivefold_critical_rerank_score_ledger_current.json,review the top score-ledger rows first and promote the scoring rule into model1 selection,"ledger:4,ready:4,bands:0/2/2,rna/protein:3/1,top:R2350,score:64.686,action:run_targeted_probe_then_freeze_model1_if_consistent,policy:do_not_mark_as_internal_prediction"
massivefold_model1_selection_calibration_gate,CASP17 MassiveFold model1 selection freeze/probe calibration gate,massivefold_model1_selection_calibration_gate_ready_external_only,4,0,4,casp17/casp17_massivefold_model1_selection_calibration_gate_current.json,run required no-native probes before freezing model1 for the gated critical targets,"gates:4,ready:4,freeze_gate:model1_freeze_blocked_by_calibration,hold/watch/probe/freeze:2/2/4/0,rna/protein:3/1,first:R2350,decision:hold_model1_freeze_probe_required,rule:no_native_model1_selection_gate_v1,policy:do_not_mark_as_internal_prediction"
massivefold_model1_probe_worklist,CASP17 MassiveFold model1 no-native probe execution worklist,massivefold_model1_probe_worklist_ready_external_only,4,0,4,casp17/casp17_massivefold_model1_probe_worklist_current.json,execute priority-1 no-native probes and write outcomes into the model1 freeze decision lane,"workitems:4,ready:4,probes:2/2,priority:2/2,rna/protein:3/1,first:R2350,probe:top5_rerank_consistency_probe,unlock:freeze_after_probe_allowed_only_if_exit_criterion_passes,policy:do_not_mark_as_internal_prediction"
massivefold_model1_probe_outcome,CASP17 MassiveFold model1 no-native probe outcome packet,massivefold_model1_probe_outcome_ready_external_only,4,0,4,casp17/casp17_massivefold_model1_probe_outcome_current.json,feed probe outcomes into the model1 freeze decision packet while preserving no-native boundaries,"outcomes:4,ready:4,pass/fail/freeze:3/1/3,probes:2/2,rna/protein:3/1,first:R2350,result:probe_pass_model1_retained,recommendation:conditional_model1_freeze_ready_external_only,rule:no_native_probe_rescore_v1,policy:do_not_mark_as_internal_prediction"
massivefold_model1_freeze_decision_packet,CASP17 MassiveFold model1 no-native freeze decision packet,massivefold_model1_freeze_decision_packet_ready_external_only,4,0,4,casp17/casp17_massivefold_model1_freeze_decision_packet_current.json,feed freeze-ready decisions into the external-only model-selection ledger; keep manual-review targets blocked,"decisions:4,ready:4,freeze-ready/blocked:3/1,conditional/watch/manual:2/1/1,rna/protein:3/1,first-ready:R2350,first-blocked:R2352,rule:no_native_model1_freeze_decision_v1,policy:do_not_mark_as_internal_prediction"
massivefold_model_selection_ledger,CASP17 MassiveFold external no-native model-selection ledger,massivefold_model_selection_ledger_ready_external_only,15,0,15,casp17/casp17_massivefold_model_selection_ledger_current.json,"use this external-only ledger for accuracy-estimation review, then resume strict-blind source-gate closure","ledgers:15,ready:15,selected:2/1,manual/review:1/11,freeze-ready:3,rna/protein:6/9,first:R2350,decision:external_model1_selected_conditional,manual:R2352,rule:no_native_massivefold_model_selection_ledger_v1,policy:do_not_mark_as_internal_prediction"
massivefold_model1_combined_selector_overlay,Applied baseline-calibrated no-native selector overlay to MassiveFold model1 freeze decisions,massivefold_model1_combined_selector_overlay_ready_external_only,15,0,15,casp17/casp17_massivefold_model1_combined_selector_overlay_current.json,run targeted no-native probes for overlay probe-required targets and keep strict-blind proof separate,"overlay:15/0/15,freeze:2/13,holds:1/1/0/11/0/0,baseline:0.500/0.500,first:R2352/selector_blocked_manual_review,first_freeze:R2350/carry_model1_as_external_only_freeze_ready,proof_eligible:False,policy:do_not_mark_as_internal_prediction"
massivefold_freeze_ready_review_packet,CASP17 MassiveFold freeze-ready model1/top5 review packet,massivefold_freeze_ready_review_packet_ready_external_only,2,0,2,casp17/casp17_massivefold_freeze_ready_review_packet_current.json,operator visually inspects freeze-ready model1/top5 viewers before any CASP rule-checked formatting,"reviews:2/0/2,artifacts:2/2/2/2,top5:10,first:R2350/Model_20_af3_woPaired_af3_seed_612441_sample_0_pred_640.cif,proof_eligible:False,policy:do_not_mark_as_internal_prediction"
massivefold_hold_probe_review_packet,CASP17 MassiveFold held/probe-required model1/top5 review packet,massivefold_hold_probe_review_packet_ready_external_only,13,0,13,casp17/casp17_massivefold_hold_probe_review_packet_current.json,"operator reviews manual block, interface hold, and probe-required viewers before any model1 freeze","reviews:13/0/13,classes:1/1/11/0/0,artifacts:13/13/13/13/alt:1,top5:65,first:R2352/manual_blocked_review,proof_eligible:False,policy:do_not_mark_as_internal_prediction"
massivefold_probe_required_targeted_probe_packet,CASP17 MassiveFold probe-required targeted no-native probe packet,massivefold_probe_required_targeted_probe_packet_ready_external_only,11,0,11,casp17/casp17_massivefold_probe_required_targeted_probe_packet_current.json,feed clear/watch/fail probe recommendations into the external-only selector overlay review,"probes:11/0/11,pass_watch_fail:8/3/0,recommend:8/3/0,rna_protein:3/8,artifacts:11/11/11/11/11/11,top5:55,first:H1311/probe_watch_model1_retained_low_margin,margin:0.31936,proof_eligible:False,policy:do_not_mark_as_internal_prediction"
massivefold_post_probe_selector_decision_packet,CASP17 MassiveFold post-probe selector decision map,massivefold_post_probe_selector_decision_packet_ready_external_only,15,0,15,casp17/casp17_massivefold_post_probe_selector_decision_packet_current.json,review watch/manual/interface rows before any CASP rule-checked formatting; keep strict-blind proof separate,"decisions:15/0/15,freeze_watch_manual:10/4/1,freeze_existing_probe:2/8,watch_probe_interface:3/1,manual_probe_manual:0/1,rna_protein:6/9,artifacts:15/15/15/15/alt:1,first:R2352/manual_block,proof_eligible:False,policy:do_not_mark_as_internal_prediction"
massivefold_watch_manual_action_packet,CASP17 MassiveFold watch/manual/interface action packet,massivefold_watch_manual_action_packet_ready_external_only,5,0,5,casp17/casp17_massivefold_watch_manual_action_packet_current.json,operator resolves the five watch/manual/interface actions before any CASP rule-checked formatting,"actions:5/0/5,classes:1/1/3,priority:2/3,rna_protein:2/3,artifacts:5/5/5/5/alt:1,first:R2352/manual_alternate_review,proof_eligible:False,policy:do_not_mark_as_internal_prediction"
massivefold_freeze_candidate_format_preflight,CASP17 MassiveFold freeze-candidate external format preflight,massivefold_freeze_candidate_format_preflight_ready_external_only,10,0,10,casp17/casp17_massivefold_freeze_candidate_format_preflight_current.json,run official CASP rule checks only after operator resolves watch/manual actions and approves formatting,"preflight:10/0/10,freeze_existing_probe:2/8,rna_protein:4/6,selected_pdb_cif:6/4,packaged_pdb_cif:0/10,checks:10/10/10/10/10/10/10,first:H2319,proof_eligible:False,policy:do_not_mark_as_internal_prediction"
massivefold_freeze_candidate_escrow,CASP17 MassiveFold freeze-candidate SHA escrow,massivefold_freeze_candidate_escrow_ready_external_only,10,0,10,casp17/casp17_massivefold_freeze_candidate_escrow_current.json,hold these external-only hashes for rule-checked formatting review and future native evaluation; keep strict-blind proof separate,"escrow:10/0/10,sha_model_top5:10/10,artifacts:10/10/10/10,freeze_existing_probe:2/8,rna_protein:4/6,native_proof_author:10/0/0,first:H2319,blocked:-"
massivefold_freeze_candidate_protein_library,CASP17 MassiveFold freeze-candidate protein-name 3D library,massivefold_freeze_candidate_protein_library_ready_external_only,10,0,10,casp17/casp17_massivefold_freeze_candidate_protein_library_current.json,Open protein-name folders for freeze-candidate visual review; keep external-only proof boundary and run CASP rule checks separately.,"library:10/0/10,objects:10/0/10,links:10/10/10/10/10,sha_model_top5:10/10,name_sources:5/10,rna_protein:4/6,proof_author:0/0,first:H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,blocked:-"
capri_round65_readiness,"CAPRI Round 65 registration, role-selection, and format-preflight gate",deferred_pi_required,0,0,13,casp17/capri_round65/capri_round65_readiness_current.json,preserve CAPRI context only; continue CASP17 historical benchmark and competitive-floor work,"not_active_scope,reason:operator_not_pi_capri_registration_requires_pi_or_research_group_lead"
capri_round65_format_preflight,CAPRI Round 65 local PDB format and online-validator preflight,deferred_pi_required,0,0,13,casp17/capri_round65/capri_round65_format_preflight_current.json,skip CAPRI format preflight while Round 65 participation is on PI-required hold,"not_active_scope,capri:deferred_pi_required"
benchmark_input_scaffold,No-leak historical benchmark row folders,ready,0,40,40,runs/casp17_win_tier_benchmark_input_scaffold_current.json,"Fill row folders with cleared historical target identity, internal predictions, native files, provenance, and calibration values.",missing_evidence_items:1310
benchmark_input_inventory,No-leak benchmark input inventory,blocked,0,40,40,runs/casp17_win_tier_benchmark_input_inventory_current.json,Replace placeholder target/benchmark IDs with a cleared historical non-CASP17 protein target.,missing_files:480
operator_dashboard,Operator dashboard for 40 benchmark rows,ready,0,40,40,runs/casp17_win_tier_benchmark_operator_dashboard_current.json,Replace placeholder target/benchmark IDs with a cleared historical non-CASP17 protein target.,
historical_identity_seed_inventory,Local historical identity seed candidates for operator no-leak review,batch_seed_shape_ready_operator_clearance_required,15,15,17,runs/casp17_historical_identity_seed_inventory_current.json,"operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion","monomer_complex:10/7,eligible:10/7,batch:15,manifest:15"
historical_identity_seed_clearance_workorder,Operator clearance gate for historical identity seed candidates,awaiting_seed_clearance,0,15,15,runs/casp17_historical_identity_seed_clearance_workorder_current.json,"fill operator no-leak evidence, chronology, and leakage controls","phase_open:0/0/15/15/15,cleared_manifest:0,blocking_fields:255"
historical_identity_seed_clearance_action_bundle,Per-seed request folders for historical identity seed clearance,open_actions,0,45,45,casp17/casp17_historical_identity_seed_clearance_action_bundle_current.json,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_001_no_leak_provenance/ACTION.md,"targets:15,folders:45,files:90,lanes:0/0/15/15/15"
historical_identity_seed_clearance_field_board,Lane-level field board for historical seed clearance inputs,operator_field_fill_required,0,15,15,casp17/casp17_historical_identity_seed_clearance_field_board_current.json,"fill no-leak evidence, chronology, leakage controls, and operator clearance first","core:15/0,open_fields:150/90/15/255,ready:0"
