repair_rank,source_rank,benchmark_id,target_id,scope,repair_phase,repair_status,blocking_field_count,blockers,next_action
11,3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
12,3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
13,3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
14,3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
15,3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
16,4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
17,4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
18,4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
19,4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
20,4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
21,5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
22,5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
23,5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
24,5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
25,5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
26,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
27,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
28,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
29,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
30,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
31,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
32,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
33,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
34,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
35,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
36,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
37,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
38,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
39,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
40,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
41,9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
42,9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
43,9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
44,9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
45,9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
46,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
47,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
48,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
49,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
50,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
51,11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
52,11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
53,11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
54,11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
55,11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
56,12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
57,12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
58,12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
59,12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
60,12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
61,13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
62,13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
63,13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
64,13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
65,13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
66,14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
67,14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
68,14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
69,14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
70,14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
71,15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
72,15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
73,15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
74,15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
75,15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
76,16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
77,16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
78,16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
79,16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
80,16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
81,17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
82,17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
83,17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
84,17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
85,17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
86,18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
87,18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
88,18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
89,18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
90,18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
91,19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
92,19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
93,19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
94,19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
95,19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
96,20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
97,20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
98,20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
99,20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
